bananas;10;1.0;5.0;5;25.0;10.0;15.0;150.0
apples;10;1.0;5.0;0;0.0;10.0;-10.0;-100.0
krabby patty;10;5.0;10.0;0;0.0;50.0;-50.0;-100.0
good burger;10;5.0;10.0;0;0.0;50.0;-50.0;-100.0
mondo burger;10;5.0;10.0;0;0.0;50.0;-50.0;-100.0
jelly patty;10;5.0;10.0;0;0.0;50.0;-50.0;-100.0
cookies;10;5.0;10.0;0;0.0;50.0;-50.0;-100.0
haribo;100;10.0;50.0;0;0.0;1000.0;-1000.0;-100.0
strawberries;1000;1000000.0;1.0E8;0;0.0;1.0E9;-1.0E9;-100.0
nectarines;10000;1.0E10;10.0;0;0.0;1.0E14;-1.0E14;-100.0
pillsbury cookies;100;1.0;100.0;0;0.0;100.0;-100.0;-100.0
fuji burger;10;1.0;10.0;0;0.0;10.0;-10.0;-100.0
pavlova;10;100.0;10000.0;0;0.0;1000.0;-1000.0;-100.0
turkey;10;1.0;100000.0;0;0.0;10.0;-10.0;-100.0
apple cider;10;10.0;100.0;0;0.0;100.0;-100.0;-100.0
